 Format                 IAGA-2002                                    |
 Source of Data         EOST, Strasbourg, France                     |
 Station Name           am                                           |
 IAGA CODE              am                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               am, Kpm, an, as, Am, An, As                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     3-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, https://isgi.unistra.fr).             |
 # The values in the raw of 00:00:00.000 are the values              |
 #  between 00:00UT and 03:00UT, etc.                                |
 # Missing values of an,as,am are indicated by value 999             |
 # am: am = (an + as)/2, rounded to unit 1 nT                        |
 # Kpm: Expressed in a quasi-logarithmic scale of thirds,            |
 #      it ranges from Oo to 9                                       | 
 # an: Northern index, rounded to unit 1 nT                          |
 # as: Southern index, rounded to unit 1 nT                          |
 # Am: Daily Mean of am, rounded to unit 1 nT                        |
 # An: Daily Mean of an, rounded to unit 1 nT                        |
 # As: Daily Mean of as, rounded to unit 1 nT                        |
 #                                                                   |
 # License: CC BY-NC                                                 |
 #          https://creativecommons.org/licenses/by-nc/4.0/          |
 #                                                                   |
 # For more information on aa index, please visit                    |
 #  ISGI website at EOST/UDS: https://isgi.unistra.fr                |
DATE       TIME         DOY   am  Kpm   an   as   Am   An   As       |
2015-08-09 06:00:00.000 221   21   2+   21   20   21   22   20
2015-08-09 09:00:00.000 221   40   3+   44   37   21   22   20
2015-08-09 12:00:00.000 221   15   2o   14   15   21   22   20
2015-08-09 15:00:00.000 221   18   2+   20   17   21   22   20
2015-08-09 18:00:00.000 221   16   2o   16   16   21   22   20
2015-08-09 21:00:00.000 221   27   3-   30   25   21   22   20
2015-08-10 00:00:00.000 222   26   3-   25   26   19   21   17
2015-08-10 03:00:00.000 222   24   3-   28   19   19   21   17
2015-08-10 06:00:00.000 222   27   3-   30   24   19   21   17
2015-08-10 09:00:00.000 222   19   2+   22   15   19   21   17
2015-08-10 12:00:00.000 222   18   2+   21   16   19   21   17
2015-08-10 15:00:00.000 222    9   1o   12    6   19   21   17
2015-08-10 18:00:00.000 222   18   2+   19   17   19   21   17
2015-08-10 21:00:00.000 222   12   1+   14   11   19   21   17
2015-08-11 00:00:00.000 223   24   3-   22   25   15   16   15
2015-08-11 03:00:00.000 223   20   2+   20   19   15   16   15
2015-08-11 06:00:00.000 223   16   2o   18   14   15   16   15
2015-08-11 09:00:00.000 223   21   2+   21   21   15   16   15
2015-08-11 12:00:00.000 223   11   1+   12   11   15   16   15
2015-08-11 15:00:00.000 223    8   1-    8    7   15   16   15
2015-08-11 18:00:00.000 223    6   0+    7    5   15   16   15
2015-08-11 21:00:00.000 223   17   2+   18   15   15   16   15
2015-08-12 00:00:00.000 224   15   2o   18   12   21   23   19
2015-08-12 03:00:00.000 224   21   2+   24   19   21   23   19
2015-08-12 06:00:00.000 224   23   3-   24   23   21   23   19
2015-08-12 09:00:00.000 224    8   1-    8    8   21   23   19
2015-08-12 12:00:00.000 224   17   2+   19   15   21   23   19
2015-08-12 15:00:00.000 224   31   3o   30   32   21   23   19
2015-08-12 18:00:00.000 224   19   2+   22   15   21   23   19
2015-08-12 21:00:00.000 224   32   3o   35   28   21   23   19
2015-08-13 00:00:00.000 225   29   3o   28   31   21   20   23
2015-08-13 03:00:00.000 225   41   4-   42   40   21   20   23
2015-08-13 06:00:00.000 225   22   3-   21   24   21   20   23
2015-08-13 09:00:00.000 225   24   3-   19   29   21   20   23
2015-08-13 12:00:00.000 225   22   3-   19   24   21   20   23
2015-08-13 15:00:00.000 225   12   1+   11   14   21   20   23
2015-08-13 18:00:00.000 225   10   1o   10   10   21   20   23
2015-08-13 21:00:00.000 225   10   1o    9   10   21   20   23
2015-08-14 00:00:00.000 226    4   0o    4    4    6    6    5
2015-08-14 03:00:00.000 226    2   0o    3    1    6    6    5
2015-08-14 06:00:00.000 226    2   0o    2    2    6    6    5
2015-08-14 09:00:00.000 226    5   0+    7    4    6    6    5
2015-08-14 12:00:00.000 226    6   0+    8    5    6    6    5
2015-08-14 15:00:00.000 226    4   0o    6    2    6    6    5
